station_name,latitude_x,longitude_x,available_bikes,poi_name,category,latitude_y,longitude_y
#00126-SALLES DES FÊTES HOLZEM,49.615901,5.993194,9,Restaurant Papaya,Sushi Restaurant,49.616679,5.993284
#00109-FOYER,49.569178,6.08175,2,Burger King Leudelange,Fast Food Restaurant,49.567216,6.079689
#00109-FOYER,49.569178,6.08175,2,Il Punto Delizioso,Pizzeria,49.565284,6.080453
#00109-FOYER,49.569178,6.08175,2,El Gato,Spanish Restaurant,49.567357,6.082029
#00109-FOYER,49.569178,6.08175,2,Les Espaces Réunions,French Restaurant,49.563044,6.072636
#00109-FOYER,49.569178,6.08175,2,Panos,Sandwich Spot,49.567036,6.079913
#00109-FOYER,49.569178,6.08175,2,Le Coin de la voglia matta,Diner,49.568284,6.076614
#00109-FOYER,49.569178,6.08175,2,Gourmet rapide resto (Gourmet Rapide Resto),Café,49.566641,6.078437
#00109-FOYER,49.569178,6.08175,2,Restaurant L' Orange Bleue,French Restaurant,49.565901,6.079576
#00109-FOYER,49.569178,6.08175,2,Restaurant Pizzeria Am Bann,French Restaurant,49.565964,6.078842
#00109-FOYER,49.569178,6.08175,2,Sakula,Asian Restaurant,49.565376,6.080774
#00109-FOYER,49.569178,6.08175,2,Am Ban,Italian Restaurant,49.565937,6.079859
#00109-FOYER,49.569178,6.08175,2,Il Bocconcino,Pizzeria,49.563134,6.072525
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Vinissimo,Wine Bar,49.587395,6.117451
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Au Pain de Mary,Bakery,49.59176,6.123175
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,New Delhi,Indian Restaurant,49.591303,6.126148
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Gastronomica,Italian Restaurant,49.596455,6.120399
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,New Cooking,Sushi Restaurant,49.593167,6.119896
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Oberweis,Caterer,49.583416,6.113544
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Chiche,Lebanese Restaurant,49.598107,6.118236
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Restaurant Pizzeria Quadro Delizioso,Pizzeria,49.591543,6.124756
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Restaurant Sherpa,Indian Restaurant,49.598721,6.118566
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Syriously,Middle Eastern Restaurant,49.598557,6.117677
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Restaurant Appayan,Indian Restaurant,49.59566,6.116577
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Restaurant Mr. Wok,Cantonese Restaurant,49.598807,6.119661
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Agave,Mexican Restaurant,49.59875,6.119623
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Saint-Paul Luxembourg,Advertising Agency,49.589918,6.116829
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Deliway,Sandwich Spot,49.590002,6.11585
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Mani D’Oro,Italian Restaurant,49.591116,6.116433
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Snack Daniela,Burger Joint,49.591538,6.116892
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Ninja House II,Sushi Restaurant,49.591709,6.117007
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Sushi Ichiban,Sushi Restaurant,49.592197,6.117166
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Restaurant Divino,Wine Bar,49.587497,6.117434
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Sushi Délice,Asian Restaurant,49.588715,6.120074
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Chez Daniela,Burger Joint,49.591581,6.116402
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Chez Stefano,Pizzeria,49.582117,6.116032
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Primavera Centre Commercial,Deli,49.588128,6.120366
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,In Vivo,Diner,49.588095,6.118876
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Big Fernand Luxembourg,Burger Joint,49.582973,6.12404
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Pepe Ristorante Pizzeria,Italian Restaurant,49.592816,6.120004
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Penalvense,Portuguese Restaurant,49.593932,6.117305
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Cafe Silves,Café,49.593782,6.116945
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,Mr Sushi (Mr Sushi Sàrl),Buffet,49.593998,6.117004
