station_name,poi_name,category,latitude,longitude
#00126-SALLES DES FÊTES HOLZEM,Restaurant Papaya,Sushi Restaurant,49.616679,5.993284
#00109-FOYER,Burger King Leudelange,Fast Food Restaurant,49.567216,6.079689
#00109-FOYER,Il Punto Delizioso,Pizzeria,49.565284,6.080453
#00109-FOYER,El Gato,Spanish Restaurant,49.567357,6.082029
#00109-FOYER,Les Espaces Réunions,French Restaurant,49.563044,6.072636
#00109-FOYER,Panos,Sandwich Spot,49.567036,6.079913
#00109-FOYER,Le Coin de la voglia matta,Diner,49.568284,6.076614
#00109-FOYER,Gourmet rapide resto (Gourmet Rapide Resto),Café,49.566641,6.078437
#00109-FOYER,Restaurant L' Orange Bleue,French Restaurant,49.565901,6.079576
#00109-FOYER,Restaurant Pizzeria Am Bann,French Restaurant,49.565964,6.078842
#00109-FOYER,Sakula,Asian Restaurant,49.565376,6.080774
#00109-FOYER,Am Ban,Italian Restaurant,49.565937,6.079859
#00109-FOYER,Il Bocconcino,Pizzeria,49.563134,6.072525
#00053-LUDWIG VAN BEETHOVEN,Vinissimo,Wine Bar,49.587395,6.117451
#00053-LUDWIG VAN BEETHOVEN,Au Pain de Mary,Bakery,49.59176,6.123175
#00053-LUDWIG VAN BEETHOVEN,New Delhi,Indian Restaurant,49.591303,6.126148
#00053-LUDWIG VAN BEETHOVEN,Gastronomica,Italian Restaurant,49.596455,6.120399
#00053-LUDWIG VAN BEETHOVEN,New Cooking,Sushi Restaurant,49.593167,6.119896
#00053-LUDWIG VAN BEETHOVEN,Oberweis,Caterer,49.583416,6.113544
#00053-LUDWIG VAN BEETHOVEN,Chiche,Lebanese Restaurant,49.598107,6.118236
#00053-LUDWIG VAN BEETHOVEN,Restaurant Pizzeria Quadro Delizioso,Pizzeria,49.591543,6.124756
#00053-LUDWIG VAN BEETHOVEN,Restaurant Sherpa,Indian Restaurant,49.598721,6.118566
#00053-LUDWIG VAN BEETHOVEN,Syriously,Middle Eastern Restaurant,49.598557,6.117677
#00053-LUDWIG VAN BEETHOVEN,Restaurant Appayan,Indian Restaurant,49.59566,6.116577
#00053-LUDWIG VAN BEETHOVEN,Restaurant Mr. Wok,Cantonese Restaurant,49.598807,6.119661
#00053-LUDWIG VAN BEETHOVEN,Agave,Mexican Restaurant,49.59875,6.119623
#00053-LUDWIG VAN BEETHOVEN,Saint-Paul Luxembourg,Advertising Agency,49.589918,6.116829
#00053-LUDWIG VAN BEETHOVEN,Deliway,Sandwich Spot,49.590002,6.11585
#00053-LUDWIG VAN BEETHOVEN,Mani D’Oro,Italian Restaurant,49.591116,6.116433
#00053-LUDWIG VAN BEETHOVEN,Snack Daniela,Burger Joint,49.591538,6.116892
#00053-LUDWIG VAN BEETHOVEN,Ninja House II,Sushi Restaurant,49.591709,6.117007
#00053-LUDWIG VAN BEETHOVEN,Sushi Ichiban,Sushi Restaurant,49.592197,6.117166
#00053-LUDWIG VAN BEETHOVEN,Restaurant Divino,Wine Bar,49.587497,6.117434
#00053-LUDWIG VAN BEETHOVEN,Sushi Délice,Asian Restaurant,49.588715,6.120074
#00053-LUDWIG VAN BEETHOVEN,Chez Daniela,Burger Joint,49.591581,6.116402
#00053-LUDWIG VAN BEETHOVEN,Chez Stefano,Pizzeria,49.582117,6.116032
#00053-LUDWIG VAN BEETHOVEN,Primavera Centre Commercial,Deli,49.588128,6.120366
#00053-LUDWIG VAN BEETHOVEN,In Vivo,Diner,49.588095,6.118876
#00053-LUDWIG VAN BEETHOVEN,Big Fernand Luxembourg,Burger Joint,49.582973,6.12404
#00053-LUDWIG VAN BEETHOVEN,Pepe Ristorante Pizzeria,Italian Restaurant,49.592816,6.120004
#00053-LUDWIG VAN BEETHOVEN,Penalvense,Portuguese Restaurant,49.593932,6.117305
#00053-LUDWIG VAN BEETHOVEN,Cafe Silves,Café,49.593782,6.116945
#00053-LUDWIG VAN BEETHOVEN,Mr Sushi (Mr Sushi Sàrl),Buffet,49.593998,6.117004
#00053-LUDWIG VAN BEETHOVEN,Il Pavone,Italian Restaurant,49.592816,6.120004
#00053-LUDWIG VAN BEETHOVEN,Restaurant-Brasserie des Arts,French Restaurant,49.594273,6.117537
#00053-LUDWIG VAN BEETHOVEN,Donna's Heaven,Bar,49.594121,6.116742
#00053-LUDWIG VAN BEETHOVEN,Bubblies,Coffee Shop,49.585906,6.118428
#00053-LUDWIG VAN BEETHOVEN,Lux-cloche d'or,Restaurant,49.582798,6.125131
#00053-LUDWIG VAN BEETHOVEN,Pizzeria bei der Auer,Pizzeria,49.591079,6.124787
#00053-LUDWIG VAN BEETHOVEN,Chop-Sticks,Chinese Restaurant,49.590683,6.12495
#00053-LUDWIG VAN BEETHOVEN,Match Gasperich Loung,Beer Garden,49.592565,6.125017
#00053-LUDWIG VAN BEETHOVEN,Cafe-Brasserie Millewee,Restaurant,49.592055,6.126744
#00053-LUDWIG VAN BEETHOVEN,Comptoir Bohème,Restaurant,49.58376,6.114306
#00053-LUDWIG VAN BEETHOVEN,Café Millewee,Pub,49.592055,6.126744
#00053-LUDWIG VAN BEETHOVEN,FoodRiders,Burger Joint,49.583925,6.113457
